pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,ts_parsed,fold
SOLUSDT,2026-08-19 14:44:00+00:00,0.004600000000000001,0.006,TP,1.6,34.0,TREND,2026-08-19 14:44:00+00:00,f1
NEARUSDT,2026-08-19 14:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,33.0,CHOP,2026-08-19 14:47:00+00:00,f1
XRPUSDT,2026-08-19 14:52:00+00:00,0.004600000000000001,0.006,TP,1.6,77.0,TREND,2026-08-19 14:52:00+00:00,f1
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,0.006,TP,1.6,83.0,TREND,2026-08-19 14:54:00+00:00,f1
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,0.006,TP,1.6,7.0,TREND,2026-08-19 14:54:00+00:00,f1
BTCUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,0.006,TP,1.6,38.0,TREND,2026-08-19 14:55:00+00:00,f1
NEARUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,0.006,TP,1.6,11.0,TREND,2026-08-19 14:55:00+00:00,f1
NEARUSDT,2026-08-19 15:00:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,TREND,2026-08-19 15:00:00+00:00,f1
NEARUSDT,2026-08-19 15:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,7.0,TREND,2026-08-19 15:02:00+00:00,f1
ETHUSDT,2026-08-19 15:04:00+00:00,0.004600000000000001,0.006,TP,1.6,7.0,TREND,2026-08-19 15:04:00+00:00,f1
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,0.006,TP,1.6,6.0,TREND,2026-08-19 15:05:00+00:00,f1
BTCUSDT,2026-08-19 15:05:00+00:00,0.004600000000000001,0.006,TP,1.6,4.0,TREND,2026-08-19 15:05:00+00:00,f1
SOLUSDT,2026-08-19 15:05:00+00:00,0.004879527976102221,0.00627952797610222,TP,1.6,2.0,TREND,2026-08-19 15:05:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,2185.0,CHOP,2026-08-19 15:14:00+00:00,f1
BTCUSDT,2026-08-19 15:14:00+00:00,-0.0414,-0.04,MAE_KILL,1.6,544.0,TREND,2026-08-19 15:14:00+00:00,f1
ETHUSDT,2026-08-19 15:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,4.0,TREND,2026-08-19 15:18:00+00:00,f1
BTCUSDT,2026-08-19 15:22:00+00:00,0.004600000000000001,0.006,TP,1.6,15.0,TREND,2026-08-19 15:22:00+00:00,f1
BTCUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,0.006,TP,1.6,13.0,TREND,2026-08-19 15:23:00+00:00,f1
ETHUSDT,2026-08-19 15:23:00+00:00,0.005121412963327725,0.006521412963327725,TP,1.6,5.0,TREND,2026-08-19 15:23:00+00:00,f1
NEARUSDT,2026-08-19 15:23:00+00:00,0.004600000000000001,0.006,TP,1.6,2.0,TREND,2026-08-19 15:23:00+00:00,f1
ETHUSDT,2026-08-19 15:24:00+00:00,0.005419711528242839,0.006819711528242838,TP,1.6,8.0,TREND,2026-08-19 15:24:00+00:00,f1
NEARUSDT,2026-08-19 15:26:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,143.0,CHOP,2026-08-19 15:26:00+00:00,f1
BTCUSDT,2026-08-19 15:26:00+00:00,0.004600000000000001,0.006,TP,1.6,1.0,TREND,2026-08-19 15:26:00+00:00,f1
BTCUSDT,2026-08-19 15:35:00+00:00,0.00977212520505511,0.01117212520505511,TP,1.6,5.0,TREND,2026-08-19 15:35:00+00:00,f1
