pair,net_frac,exit_type,mfe_frac,tp_mult
XRPUSDT,-0.040600000000000004,MAE_KILL,0.0004658023445384162,1.6
BTCUSDT,0.0046500000000000005,TP,0.006092658085519478,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005859579365909856,1.6
BTCUSDT,0.0046500000000000005,TP,0.00740831557337493,1.6
BTCUSDT,0.0046500000000000005,TP,0.00702216427640164,1.6
XRPUSDT,0.0056481426448737205,TP,0.007875185735512586,1.6
SOLUSDT,0.0046500000000000005,TP,0.006811854166895928,1.6
BTCUSDT,0.0009,BE_RAISED,0.0037516642014230675,1.6
BTCUSDT,0.0046500000000000005,TP,0.00620311129875613,1.6
BTCUSDT,0.0046500000000000005,TP,0.006115540591446075,1.6
XRPUSDT,-0.040600000000000004,MAE_KILL,0.0014479500076207993,1.6
BTCUSDT,0.0046500000000000005,TP,0.006547171697111648,1.6
BTCUSDT,0.0046500000000000005,TP,0.0071840384670247455,1.6
SOLUSDT,0.0046500000000000005,TP,0.006121313299944273,1.6
XRPUSDT,0.000952064518838994,BE_RAISED,0.004042928550426227,1.6
ETHUSDT,0.0046500000000000005,TP,0.008296531410077896,1.6
ETHUSDT,0.0046500000000000005,TP,0.007346532187772306,1.6
BTCUSDT,0.0046500000000000005,TP,0.007613892321863006,1.6
SOLUSDT,0.0046500000000000005,TP,0.007722972312438205,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.00012354157838318492,1.6
BTCUSDT,0.0046500000000000005,TP,0.006092334539482163,1.6
