pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
BTCUSDT,2026-08-18 14:24:00+00:00,0.004600000000000001,TP,0.006226131090848045,0.006,2026-08-18 14:24:00+00:00,f1
ETHUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,TP,0.006323719736108325,0.006,2026-08-18 14:26:00+00:00,f1
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,MAX_AGE,0.002767033005500675,0.006,2026-08-18 22:05:00+00:00,f1
BTCUSDT,2026-08-18 22:47:00+00:00,-0.030817060939210585,MAX_AGE,0.00039360856186263047,0.006,2026-08-18 22:47:00+00:00,f1
ETHUSDT,2026-08-19 00:02:00+00:00,0.0010000000000000002,FLOOR40,0.003880976416007116,0.006,2026-08-19 00:02:00+00:00,f1
ETHUSDT,2026-08-19 02:22:00+00:00,0.0010000000000000002,FLOOR40,0.0036277338686070623,0.006,2026-08-19 02:22:00+00:00,f1
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005000000000000001,BE_STOP,0.003528765977468176,0.006,2026-08-19 02:26:00+00:00,f1
BTCUSDT,2026-08-19 03:26:00+00:00,-0.017415729875708687,MAX_AGE,0.0009017830351079225,0.006,2026-08-19 03:26:00+00:00,f1
ETHUSDT,2026-08-19 07:04:00+00:00,0.0005000000000000001,BE_STOP,0.0033532295105122346,0.006,2026-08-19 07:04:00+00:00,f1
NEARUSDT,2026-08-19 11:31:00+00:00,0.004600000000000001,TP,0.006931979946772358,0.006,2026-08-19 11:31:00+00:00,f1
BTCUSDT,2026-08-19 12:19:00+00:00,-0.015494787445571468,MAX_AGE,0.002505914776874412,0.006,2026-08-19 12:19:00+00:00,f1
BTCUSDT,2026-08-19 12:41:00+00:00,0.004600000000000001,TP,0.006006519232980212,0.006,2026-08-19 12:41:00+00:00,f1
SOLUSDT,2026-08-19 12:44:00+00:00,0.004600000000000001,TP,0.0066034694009157215,0.006,2026-08-19 12:44:00+00:00,f1
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,TP,0.006000777878613939,0.006,2026-08-19 13:31:00+00:00,f1
BTCUSDT,2026-08-19 13:34:00+00:00,0.0005000000000000001,BE_STOP,0.003578247213155162,0.006,2026-08-19 13:34:00+00:00,f1
BTCUSDT,2026-08-19 13:34:00+00:00,0.0010000000000000002,FLOOR40,0.004633183209565975,0.006,2026-08-19 13:34:00+00:00,f1
NEARUSDT,2026-08-19 14:13:00+00:00,0.0010000000000000002,FLOOR40,0.003695719125346477,0.006,2026-08-19 14:13:00+00:00,f1
BTCUSDT,2026-08-19 14:17:00+00:00,0.004600000000000001,TP,0.006449687667760262,0.006,2026-08-19 14:17:00+00:00,f1
XRPUSDT,2026-08-19 14:50:00+00:00,0.004600000000000001,TP,0.006090373280943009,0.006,2026-08-19 14:50:00+00:00,f1
XRPUSDT,2026-08-19 14:54:00+00:00,0.004600000000000001,TP,0.007929515418502198,0.006,2026-08-19 14:54:00+00:00,f1
BTCUSDT,2026-08-19 14:55:00+00:00,0.004600000000000001,TP,0.00902632896124517,0.006,2026-08-19 14:55:00+00:00,f1
